新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
海鲜	海鲜（hoisin），又称海产食物，包括了鱼类、虾类、贝类这些海产等。虽然海带这类海洋生物也常是被料理成食物，但是海鲜主要还是针对动物制成的料理为主。狭义上，只有新鲜的海产食物才能称为海鲜，海鲜的分类有：活海鲜、冷冻海鲜。
挂画	戏剧《挂画》是本戏《梵王宫》中的一折，梆子戏中常见的剧目，是蒲剧（蒲州梆子）的代表作。秦腔，晋剧，京剧，红梅戏等剧目也曾移植这一剧目。
挂钟	挂钟最早是由塔钟演变而来，大约在16世纪欧洲出现庞大体积的塔钟建筑，限于当时的制造技术，钟表一般体积较大。随着技术发展，在20世纪中期日本的石英钟技术的突破以及在钟表上的应用。小型挂钟在千家万户中普及。目前挂钟有三大类：1、指针式石英挂钟 2、机械式挂钟 3、数字式挂钟。有的门厅及房间挂钟是必须的，特别是综合办公室，更应该挂时钟，因为在这些地方挂时钟可有五大作用，一是招财进宝，二是避邪气，三是助主人运势，四是管理部下，五是计时间。但是，时钟的挂法若不明理气，挂错地方就不行了，时钟的正面不能向内，应朝向门或阳台的方向为好。挂钟兼具看时间和艺术品味的融合，一款艺术挂钟更能体现出主人的艺术修养以及营造艺术氛围。
定做	定做是汉语词汇，拼音dìng zuò，解释为一定做成。
手链	手链是一种首饰，配戴在手腕部位，多为金银等金属制品，也有矿石、水晶等制的。手链是链状的，以祈求平安，镇定心志和美观为主要用途。
双肩	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
帆布	帆布（canvas）是一种较粗厚的棉织物或麻织物，因最初用于船帆而得名。一般多采用平纹组织，少量的用斜纹组织，经纬纱均用多股线。帆布通常分粗帆布和细帆布两大类。粗帆布又称蓬盖布，具有良好的防水性能，最大的特点就是结实耐用，用于汽车运输和露天仓库的遮盖以及野外搭帐篷。细帆布用于制作劳动保护服装及其用品，经染色或印花后，也可用作鞋材、箱包面料、手袋、背包、桌布、台布等等。此外，还有橡胶帆布，防火、防辐射用的屏蔽帆布，造纸机用的帆布。
黑白	围棋，是一种策略型两人棋类游戏，中国古时称“弈”，西方名称“Go”。流行于东亚国家（中、日、韩、朝），属琴棋书画四艺之一。围棋起源于中国，传为帝尧所作，春秋战国时期即有记载。隋唐时经朝鲜传入日本，流传到欧美各国。围棋蕴含着中华文化的丰富内涵，它是中国文化与文明的体现。围棋使用方形格状棋盘及黑白二色圆形棋子进行对弈，棋盘上有纵横各19条线段将棋盘分成361个交叉点，棋子走在交叉点上，双方交替行棋，落子后不能移动，以围地多者为胜。因为黑方先走占了便宜，所以人为规定黑方局终时要给白方贴子。中国古代围棋是黑白双方在对角星位处各摆放两子（对角星布局），为座子制，由白方先行。现代围棋取消了座子规则，黑先白后，使围棋的变化更加复杂多变。围棋也被认为是世界上最复杂的棋盘游戏。
三合一	该片是最早与中国观众见面的澳大利亚译制片。影片由“一车木柴”、“裘·威尔生的伙伴”、“城市”等三个小故事组成，讲述了澳大利亚工人之间相互友爱的故事。
吸顶灯	吸顶灯是灯具的一种，顾名思义是由于灯具上方较平，安装时底部完全贴在屋顶上所以称之为吸顶灯。光源有普通白灯泡，荧光灯、高强度气体放电灯、卤钨灯、LED等。目前市场上最流行的吸顶灯就是LED 吸顶灯，是家庭、办公室、文娱场所等各种场所经常选用的灯具。
丝绒	丝绒是割绒丝织物的统称。表面有绒毛，大都由专门的经丝被割断后所构成。由于绒毛平行整齐，故呈现丝绒所特有的光泽。如立绒、乔其绒等。多作服装及装饰用。
女夏	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
鸭绒	鸭绒是长在鸭的腹部，成芦花朵状的绒毛，成片状的叫羽毛。由于羽绒是一种动物性蛋白质纤维，球状纤维上密布千万个三角形的细小气孔，能随气温变化而收缩膨胀，产生调温功能，可吸收人体散发流动的热气，隔绝外界冷空气的入侵。
甜美	该品种属早熟小型西瓜品种。春季全生育期90-110天，秋季全生育期70-80天，植株生长势中强，抗病性中强，较易坐果，果实椭圆形，表皮绿底墨绿粗散条带（虎皮），果肉大红，肉质实脆，果皮硬韧，耐贮运性好。中心可溶性固形物含量11.3%，果实商品率89.1%，平均单瓜重3.25公斤。
手套	手套是手部保暖或劳动保护用品，也有装饰用的。手套是个很特别的东西，当初它的产生并不是为了实用，只是到近代，它才成了寒冷地区保温必备之物，或是医疗防菌、工业防护用品。但是除了传统意义上的手套，现在的手套更有了深一层的含义，与传统的手套迥然不同。这是由于网络游戏的兴起，使得铺天盖地的游戏装备名称出现，由于游戏玩家数量众多，尤其是相比于传统行业，使得网络上的手套信息更多的却是网络游戏装备的相关信息，手套最早起源于古希腊。
工具	工具原指工作时所需用的器具，后引申为达到、完成或促进某一事物的手段。工具是一个相对概念，因为其概念不是一个具体的物质，所以只要能使物质发生改变的物质，相对于那个能被它改变的物质而言就是工具。
耐热	耐热，heat resistance，是指在高温下具有高的抗氧性、抗蠕变性与强度持久的特性。
餐桌椅	餐桌椅是指餐厅里面吃饭时需要的桌椅，市场上出售的餐桌，以原木色泽的为最多，分为实木和人造板两种；另外，透明玻璃面餐桌底座为大理石或金属等材质的餐桌也占有一定的市场份额。
法兰绒	法兰绒(Flano，Flannel)一词系外来语，是一种用粗梳（棉）毛纱织制的柔软而有绒面的（棉）毛织物。于18世纪创制于英国的威尔士。国内一般是指混色粗梳（棉）毛纱织制的具有夹花风格的粗纺（棉）毛织物，其里面有一层丰满细洁的绒毛覆盖，不露织纹，手感柔软平整，身骨比麦尔登呢稍薄。
积木	积木通常是立方的木头或塑料固体玩具，一般在每一表面装饰着字母或图画，容许进行不同的排列或进行建筑活动积木有各种样式，可开发儿童智力，可拼成房子，各种动物等。
增高	增高是指在青少年期间父母对孩子们的希望，通过药物、食物等各种方式变高的方式。长高是指生物从小变高大的过程，是细胞分裂增生演变的结果，在这个长高的过程中，地球上所有生物（包括人）都离不开营养的吸收，庄稼长高需要肥料，动物长高需要喂饲料，人类长高通过补充人体长高所需的31种营养实现长高。一个人从出生到成熟大约需要20年时间。过程相当缓慢，但只有这样才符合大自然生物生长的规律，也是唯一安全有效的长高办法。
玻璃杯	玻璃杯（glass）是指玻璃制成的杯子，通常由原材料高硼硅玻璃，经过600多度的高温烧制而成，它是新型的环保型茶杯，越来越受到人们的青睐。
初学者	《初学者》是薛之谦演唱的歌曲，由薛之谦创作词曲，收录于薛之谦2016年7月18日发行的专辑《初学者》。2016年，该歌曲获得全球流行音乐金榜“2016上半年度20大金曲奖”。2017年1月，获得Billboard Radio China 2016年度华语十大金曲奖。
皮夹克	皮夹克是采用动物皮，如猪皮、牛皮、羊皮、蛇皮、鱼皮等动物皮，经过特定工艺加工成的皮革做成的衣服。
面膜	面膜，是护肤品中的一个类别，是美容保养品的一种载体，敷在脸上用于美容功能例如补水保湿、美白、抗衰老、平衡油脂等等。
被子	被子是床上用品的一种，是面积足以覆盖人体、长方形的布料，一般用作睡眠时保暖，被子通常由被套或者被单包着棉絮而成，用棉做的被子叫做棉被。除棉被外，也可以用羊毛、蚕丝或者丙烯酸纤维等人造纤维制造。
护肤品	护肤品，即保护皮肤的产品。随着社会经济的不断进步和物质生活的丰富，护肤品，不再是过去只有富人才用的起的东西。现如今护肤品已走进了平常百姓家。它对人们的精神、形象提升起到了极大的作用。
机械表	机械表（mechanical watch ）通常可分为下列两种：手动上链及自动上链手表（AUTOMATIC）两种。这两款机械的动力来源皆是靠机芯内的发条为动力，带动齿轮进而推动表针，只是动力来源的方式有异。手动上链的机械表是依靠手动拧动发条作动力，机芯的厚度较一般自动上发条的表薄一些，相对来说手表的重量就轻。而自动上链的手表，是利用机芯的自动旋转盘左右摆动产生动力来驱动发条的，但相对来讲手动上链手表的厚度要比自动上链的小一些。
干货	干货是一个电子商务术语，指电子商务从业工作者发表、分享的一些关于网络推广、网络营销工作知识经验和工作方法的文章，因为这些知识和方法都是实用性比较强的，不含吹水成分，也没有虚假的成分，所以业内人士通常把这一类分享活动称之为干货 。该词现已延伸至各行各业使用，可用于表示某人传授的知识、方法、技能等比较重要或者比较实用。譬如老师讲课内容比较实用，我们可以称之为干货。某师傅教的技术比较实用，我们也可以称之为干货。比如，电子商务实战专家“小A”把自己的百度百科和百度知道优化的工作内容整理成通俗易懂的文章发表后，大家线下聚会、或在QQ群一起讨论分享的时候，大家就会说这次“小A”分享的内容全是干货。也就是说大家都有收获，都能把分享的东西成功运用到实战中去。这是一种对他人肯定的表述。
